champ1,champ2,winrate,n_games
Master Yi,Thresh,0.49638336299999997,1106
Amumu,Rammus,0.5212669679999999,1105
Blitzcrank,Thresh,0.428442029,1104
Poppy,Pyke,0.496826836,1103
Wukong,Udyr,0.501821494,1098
Lux,Graves,0.582497721,1097
Jarvan IV,Pyke,0.48722627700000004,1096
Xin Zhao,Vi,0.46697247700000005,1090
Lee Sin,Nautilus,0.491743119,1090
Master Yi,Talon,0.439449541,1090
Graves,Fizz,0.534435262,1089
Dr. Mundo,Garen,0.558823529,1088
Master Yi,Miss Fortune,0.482980681,1087
Wukong,Poppy,0.555760369,1085
Xin Zhao,Udyr,0.468144044,1083
Amumu,Riven,0.557710065,1083
Xin Zhao,Fiddlesticks,0.46431881399999997,1079
Nunu,Mordekaiser,0.44619666,1078
Udyr,Pyke,0.435873606,1076
Brand,Rengar,0.591078067,1076
Garen,Pyke,0.47250699,1073
Nidalee,Kha'Zix,0.458955224,1072
Yasuo,Aatrox,0.487371375,1069
Warwick,Malphite,0.509363296,1068
Nunu,Singed,0.484990619,1066
Jax,Camille,0.5314553989999999,1065
Fiddlesticks,Garen,0.481655691,1063
Fiddlesticks,Malphite,0.527751646,1063
Amumu,Diana,0.5602636529999999,1062
Evelynn,Vi,0.462700661,1059
Teemo,Pyke,0.469252602,1057
Trundle,Rengar,0.457819905,1055
Nunu,Talon,0.421652422,1053
Nunu,Fizz,0.471428571,1050
Lee Sin,Skarner,0.47996183200000003,1048
Nunu,Nautilus,0.47900763399999996,1048
Poppy,Gragas,0.546934866,1044
Master Yi,Singed,0.55651341,1044
Jarvan IV,Vi,0.542665388,1043
Warwick,Twitch,0.47120921299999996,1042
Shyvana,Kindred,0.472168906,1042
Nocturne,Kha'Zix,0.439539347,1042
Wukong,Diana,0.5429122470000001,1037
Warwick,Jarvan IV,0.494696239,1037
Elise,Graves,0.558880309,1036
Graves,Zed,0.5130434779999999,1035
Lee Sin,Zed,0.45938104399999996,1034
Nasus,Graves,0.48839458399999996,1034
Teemo,Kindred,0.44120505299999996,1029
Xin Zhao,Cho'Gath,0.48104956299999996,1029
Xin Zhao,Shaco,0.45525291799999995,1028
Master Yi,Vayne,0.511695906,1026
Nunu,Bard,0.44195122,1025
Amumu,Zac,0.556640625,1024
Cho'Gath,Garen,0.500489716,1021
Wukong,Nidalee,0.467583497,1018
Morgana,Graves,0.5594886920000001,1017
Nunu,Blitzcrank,0.41043307100000004,1016
Nocturne,Wukong,0.474409449,1016
Hecarim,Pyke,0.43940886700000004,1015
Sion,Yasuo,0.574384236,1015
Blitzcrank,Graves,0.526159921,1013
Warwick,Nidalee,0.423343225,1011
Galio,Lee Sin,0.522255193,1011
Rengar,Sejuani,0.45445544600000004,1010
Master Yi,Shen,0.467789891,1009
Nunu,Quinn,0.437810945,1005
Kha'Zix,Kai'Sa,0.509452736,1005
Wukong,Zac,0.509960159,1004
Talon,Graves,0.48048048,999
Xin Zhao,Teemo,0.467402207,997
Fiddlesticks,Shaco,0.475903614,996
Kha'Zix,Aatrox,0.455095863,991
Gragas,Kai'Sa,0.549949546,991
Amumu,Ekko,0.5763397370000001,989
Fiddlesticks,Dr. Mundo,0.5435222670000001,988
Xin Zhao,Garen,0.488866397,988
Master Yi,Mordekaiser,0.494427558,987
Zac,Kindred,0.497971602,986
Fiddlesticks,Vi,0.500507614,985
Kayn,Taliyah,0.531979695,985
Wukong,Ekko,0.538617886,984
Wukong,Aatrox,0.48475609799999997,984
Maokai,Pyke,0.5,984
Poppy,Yasuo,0.550356053,983
Warwick,Kai'Sa,0.504587156,981
Jax,Karthus,0.62308478,979
Urgot,Nunu,0.513292434,978
Warwick,Poppy,0.480040942,977
Mordekaiser,Graves,0.507692308,975
Udyr,Gragas,0.535384615,975
Rengar,Camille,0.45995893200000004,974
Jax,Irelia,0.457905544,974
Aatrox,Pyke,0.447530864,972
Garen,Yasuo,0.522727273,968
Nocturne,Kindred,0.449380165,968
Sejuani,Kayn,0.48397104399999996,967
Teemo,Yasuo,0.468944099,966
Jax,Taliyah,0.544698545,962
Dr. Mundo,Yasuo,0.574844075,962
Fiddlesticks,Nocturne,0.47083333299999997,960
Trundle,Kindred,0.472367049,959
Evelynn,Yasuo,0.5083507310000001,958
Teemo,Cho'Gath,0.47753396,957
Xin Zhao,Akali,0.39289446200000006,957
Kha'Zix,Diana,0.511506276,956
Amumu,Trundle,0.577405858,956
Master Yi,Alistar,0.564853556,956
Master Yi,Elise,0.45073375299999996,954
Lee Sin,Talon,0.470094439,953
Master Yi,Jhin,0.467995803,953
Nunu,Morgana,0.5073529410000001,952
Graves,Thresh,0.570378151,952
Malphite,Vi,0.523659306,951
Shaco,Gragas,0.45215562600000003,951
Wukong,Shyvana,0.477894737,950
Master Yi,Renekton,0.47418335100000003,949
Lee Sin,Lux,0.547945205,949
Fiddlesticks,Hecarim,0.506878307,945
Teemo,Dr. Mundo,0.526483051,944
Rumble,Graves,0.545068929,943
Warwick,Volibear,0.459086079,941
Master Yi,Ezreal,0.49787234,940
Wukong,Kai'Sa,0.522896699,939
Kayn,Camille,0.47284345,939
Twitch,Wukong,0.50533049,938
Warwick,Shyvana,0.460554371,938
Gragas,Hecarim,0.479144385,935
Shyvana,Kha'Zix,0.460385439,934
Amumu,Darius,0.546038544,934
Morgana,Lee Sin,0.543897216,934
Master Yi,Rumble,0.551502146,932
Fiddlesticks,Cho'Gath,0.49892703899999996,932
Evelynn,Jarvan IV,0.460300429,932
Xin Zhao,Dr. Mundo,0.504301075,930
Master Yi,Ivern,0.45640473600000003,929
Nidalee,Kindred,0.452586207,928
Singed,Graves,0.5721982760000001,928
Lee Sin,Nasus,0.44012945,927
Amumu,Volibear,0.559395248,926
Karthus,Kayn,0.59027027,925
Fiddlesticks,Poppy,0.525974026,924
Maokai,Kai'Sa,0.5844155839999999,924
Rengar,Darius,0.47288503299999995,922
Hecarim,Yasuo,0.49456521700000006,920
Fiddlesticks,Yasuo,0.511425462,919
Nocturne,Vi,0.448313384,919
Evelynn,Udyr,0.454248366,918
Maokai,Yasuo,0.598907104,915
Gragas,Akali,0.416393443,915
Nunu,Kled,0.515317287,914
Wukong,Riven,0.5482456139999999,912
Xin Zhao,Malphite,0.5065789470000001,912
Jarvan IV,Pantheon,0.48518112,911
Volibear,Kindred,0.5021978020000001,910
Wukong,Brand,0.604395604,910
Rammus,Kindred,0.508791209,910
Cho'Gath,Kai'Sa,0.524175824,910
Riven,Aatrox,0.484615385,910
Evelynn,Poppy,0.521452145,909
Udyr,Vi,0.487348735,909
Gragas,Garen,0.5468577729999999,907
Master Yi,Ornn,0.497792494,906
