"","champ1","champ2","winrate","n_games"
"1305","Akali","Zac",0.333333333,549
"15141","Akali","Zed",0.34893617,470
"41861","Akali","Ziggs",0.391304348,138
"9924","Akali","Zilean",0.442307692,104
"35821","Akali","Zoe",0.287356322,174
"38161","Akali","Zyra",0.433121019,157
"28721","Alistar","Aatrox",0.49787234,235
"7245","Alistar","Ahri",0.590909091,44
"3159","Alistar","Akali",0.403846154,208
"17861","Alistar","Amumu",0.579081633,392
"7853","Alistar","Anivia",0.5,34
"15948","Alistar","Annie",0.40625,32
"6473","Alistar","Ashe",0.393442623,61
"8167","Alistar","Aurelion Sol",0.344827586,29
"72141","Alistar","Azir",0.533333333,45
"5369","Alistar","Bard",0.406593407,91
"25261","Alistar","Blitzcrank",0.479704797,271
"3273","Alistar","Brand",0.64321608,199
"67821","Alistar","Braum",0.603773585,53
"7399","Alistar","Caitlyn",0.476190476,42
"4553","Alistar","Camille",0.537190083,121
"8135","Alistar","Cassiopeia",0.8,30
"2743","Alistar","Cho'Gath",0.552419355,248
"92401","Alistar","Corki",0.642857143,14
"40781","Alistar","Darius",0.5625,144
"3713","Alistar","Diana",0.56097561,164
"3443","Alistar","Dr. Mundo",0.597826087,184
"64681","Alistar","Draven",0.508196721,61
"3623","Alistar","Ekko",0.517647059,170
"6283","Alistar","Elise",0.630769231,65
"26641","Alistar","Evelynn",0.55859375,256
"46781","Alistar","Ezreal",0.456896552,116
"5490","Alistar","Fiddlesticks",0.487903226,248
"80441","Alistar","Fiora",0.580645161,31
"50961","Alistar","Fizz",0.5,100
"9720","Alistar","Galio",0.611111111,108
"66361","Alistar","Gangplank",0.561403509,57
"3125","Alistar","Garen",0.559241706,211
"8299","Alistar","Gnar",0.296296296,27
"2513","Alistar","Gragas",0.472527473,273
"6841","Alistar","Graves",0.556173526,899
"29061","Alistar","Hecarim",0.510822511,231
"6495","Alistar","Heimerdinger",0.583333333,60
"6171","Alistar","Illaoi",0.544117647,68
"4231","Alistar","Irelia",0.533333333,135
"69201","Alistar","Ivern",0.490196078,51
"93201","Alistar","Janna",0.307692308,13
"2945","Alistar","Jarvan IV",0.535087719,228
"1335","Alistar","Jax",0.56133829,538
"85411","Alistar","Jayce",0.565217391,23
"47661","Alistar","Jhin",0.619469027,113
"3909","Alistar","Jinx",0.467105263,152
"18101","Alistar","Kai'Sa",0.586563307,387
"53701","Alistar","Kalista",0.571428571,91
"8489","Alistar","Karma",0.458333333,24
"36341","Alistar","Karthus",0.617647059,170
"78881","Alistar","Kassadin",0.515151515,33
"78141","Alistar","Katarina",0.4,35
"9958","Alistar","Kayle",0.682692308,104
"1365","Alistar","Kayn",0.5583174,523
"7573","Alistar","Kennen",0.5,38
"1979","Alistar","Kha'Zix",0.577903683,353
"18121","Alistar","Kindred",0.558139535,387
"66501","Alistar","Kled",0.5,56
"55141","Alistar","Kog'Maw",0.639534884,86
"16388","Alistar","LeBlanc",0.724137931,29
"8001","Alistar","Lee Sin",0.524630542,812
"57461","Alistar","Leona",0.417721519,79
"93041","Alistar","Lissandra",0.461538462,13
"3819","Alistar","Lucian",0.585987261,157
"75561","Alistar","Lulu",0.342105263,38
"54281","Alistar","Lux",0.494382022,89
"1745","Alistar","Malphite",0.525,400
"70001","Alistar","Malzahar",0.530612245,49
"38011","Alistar","Maokai",0.518987342,158
"1242","Alistar","Master Yi",0.564853556,956
"4779","Alistar","Miss Fortune",0.544642857,112
"50181","Alistar","Mordekaiser",0.572815534,103
"55201","Alistar","Morgana",0.61627907,86
"8731","Alistar","Nami",0.55,20
"5031","Alistar","Nasus",0.529411765,102
"4731","Alistar","Nautilus",0.684210526,114
"3615","Alistar","Nidalee",0.549707602,171
"3105","Alistar","Nocturne",0.497652582,213
"875","Alistar","Nunu",0.509855453,761
"8840","Alistar","Olaf",0.523809524,126
"70011","Alistar","Orianna",0.551020408,49
"5989","Alistar","Ornn",0.506849315,73
"3429","Alistar","Pantheon",0.545945946,185
"24601","Alistar","Poppy",0.521428571,280
"23141","Alistar","Pyke",0.47,300
"5309","Alistar","Quinn",0.516129032,93
"7395","Alistar","Rakan",0.452380952,42
"48281","Alistar","Rammus",0.472727273,110
"7553","Alistar","Rek'Sai",0.578947368,38
"52701","Alistar","Renekton",0.606382979,94
"14681","Alistar","Rengar",0.524691358,486
"33401","Alistar","Riven",0.567708333,192
"5603","Alistar","Rumble",0.65060241,83
"67361","Alistar","Ryze",0.592592593,54
"50541","Alistar","Sejuani",0.504950495,101
"3387","Alistar","Shaco",0.53968254,189
"66261","Alistar","Shen",0.473684211,57
"36661","Alistar","Shyvana",0.604790419,167
"54461","Alistar","Singed",0.465909091,88
"36281","Alistar","Sion",0.517647059,170
"8315","Alistar","Sivir",0.481481481,27
"5899","Alistar","Skarner",0.333333333,75
"76381","Alistar","Sona",0.513513514,37
"83101","Alistar","Soraka",0.518518519,27
"68961","Alistar","Swain",0.62745098,51
"8469","Alistar","Syndra",0.5,24
"6567","Alistar","Tahm Kench",0.517241379,58
"4305","Alistar","Taliyah",0.454545455,132
"5587","Alistar","Talon",0.452380952,84
"78901","Alistar","Taric",0.484848485,33
"2959","Alistar","Teemo",0.528634361,227
"5091","Alistar","Thresh",0.44,100
"5559","Alistar","Tristana",0.529411765,85
"4991","Alistar","Trundle",0.490384615,104
"33521","Alistar","Tryndamere",0.557291667,192
"13454","Alistar","Twisted Fate",0.555555556,54
"26281","Alistar","Twitch",0.519230769,260
"3243","Alistar","Udyr",0.537313433,201
"12472","Alistar","Urgot",0.462686567,67
"6931","Alistar","Varus",0.36,50
"4007","Alistar","Vayne",0.517006803,147
"58481","Alistar","Veigar",0.493506494,77
"79901","Alistar","Vel'Koz",0.5625,32
"28481","Alistar","Vi",0.514767932,237
"93901","Alistar","Viktor",0.75,12
"17964","Alistar","Vladimir",0.529411765,17
"3883","Alistar","Volibear",0.480519481,154
"27101","Alistar","Warwick",0.470119522,251
"1915","Alistar","Wukong",0.557377049,366
"71761","Alistar","Xayah",0.565217391,46
"7649","Alistar","Xerath",0.567567568,37
"5356","Alistar","Xin Zhao",0.533333333,255
"4101","Alistar","Yasuo",0.580620155,1290
"84561","Alistar","Yorick",0.52,25
"38261","Alistar","Zac",0.448717949,156
"5427","Alistar","Zed",0.494382022,89
"7177","Alistar","Ziggs",0.47826087,46
"7209","Alistar","Zilean",0.8,45
"69301","Alistar","Zoe",0.42,50
"63581","Alistar","Zyra",0.682539683,63
"4361","Amumu","Aatrox",0.543249798,1237
"28581","Amumu","Ahri",0.584745763,236
"373","Amumu","Akali",0.471656977,1376
"3572","Amumu","Alistar",0.579081633,392
"40401","Amumu","Anivia",0.630136986,146
"5540","Amumu","Annie",0.497959184,245
"4706","Amumu","Ashe",0.557823129,294
"3567","Amumu","Aurelion Sol",0.548571429,175
"3409","Amumu","Azir",0.524064171,187
"2151","Amumu","Bard",0.585139319,323
"1603","Amumu","Blitzcrank",0.46803653,438
"463","Amumu","Brand",0.64231738,1191
"49101","Amumu","Braum",0.405660377,106
"28701","Amumu","Caitlyn",0.572033898,236
"845","Amumu","Camille",0.524296675,782
"4593","Amumu","Cassiopeia",0.512605042,119
"682","Amumu","Cho'Gath",0.560054907,1457
"5949","Amumu","Corki",0.594594595,74
"643","Amumu","Darius",0.546038544,934
"5421","Amumu","Diana",0.560263653,1062
"3521","Amumu","Dr. Mundo",0.581395349,1419
"28001","Amumu","Draven",0.526748971,243
"5881","Amumu","Ekko",0.576339737,989
"16821","Amumu","Elise",0.514423077,416
"678","Amumu","Evelynn",0.524067797,1475
"1087","Amumu","Ezreal",0.569858713,637
"310","Amumu","Fiddlesticks",0.560700876,2397
"2937","Amumu","Fiora",0.526315789,228
"12221","Amumu","Fizz",0.545454545,583
"2052","Amumu","Galio",0.526080477,671
"22581","Amumu","Gangplank",0.632258065,310
"333","Amumu","Garen",0.539288113,1489
"32241","Amumu","Gnar",0.52970297,202
"3221","Amumu","Gragas",0.551905388,1522
"19","Amumu","Graves",0.599105812,6039
"369","Amumu","Hecarim",0.533285094,1382
"19321","Amumu","Heimerdinger",0.511049724,362
"1465","Amumu","Illaoi",0.531827515,487
"935","Amumu","Irelia",0.554633472,723
"22811","Amumu","Ivern",0.449180328,305
"5887","Amumu","Janna",0.64,75
"239","Amumu","Jarvan IV",0.588391906,1878
"96","Amumu","Jax",0.568246568,3861
"34811","Amumu","Jayce",0.596685083,181
"1111","Amumu","Jhin",0.583067093,626
"10201","Amumu","Jinx",0.574183976,674
"305","Amumu","Kai'Sa",0.603502189,1599
"21861","Amumu","Kalista",0.528301887,318
"34501","Amumu","Karma",0.52173913,184
"1562","Amumu","Karthus",0.649758454,828
"3851","Amumu","Kassadin",0.516129032,155
"2399","Amumu","Katarina",0.540069686,287
"2652","Amumu","Kayle",0.612962963,540
"601","Amumu","Kayn",0.538020086,3485
"24861","Amumu","Kennen",0.537906137,277
"151","Amumu","Kha'Zix",0.544550352,2413
"139","Amumu","Kindred",0.559889677,2538
"22401","Amumu","Kled",0.599358974,312
"2413","Amumu","Kog'Maw",0.592982456,285
"7212","Amumu","LeBlanc",0.563953488,172
"281","Amumu","Lee Sin",0.550773088,4786
"2469","Amumu","Leona",0.505376344,279
"5085","Amumu","Lissandra",0.51,100
"1317","Amumu","Lucian",0.570642202,545
"35321","Amumu","Lulu",0.497175141,177
"12201","Amumu","Lux",0.592465753,584
